    | Name                                                                                | Type                                | Params
174 | model.flow._transform._transforms.7.autoregressive_net.blocks.3.batch_norm_layers.0 | BatchNorm1d                         | 16    
175 | model.flow._transform._transforms.7.autoregressive_net.blocks.3.batch_norm_layers.1 | BatchNorm1d                         | 16    
176 | model.flow._transform._transforms.7.autoregressive_net.blocks.3.linear_layers       | ModuleList                          | 144   
177 | model.flow._transform._transforms.7.autoregressive_net.blocks.3.linear_layers.0     | MaskedLinear                        | 72    
178 | model.flow._transform._transforms.7.autoregressive_net.blocks.3.linear_layers.1     | MaskedLinear                        | 72    
179 | model.flow._transform._transforms.7.autoregressive_net.blocks.3.dropout             | Dropout                             | 0     
180 | model.flow._transform._transforms.7.autoregressive_net.blocks.4                     | MaskedResidualBlock                 | 176   
181 | model.flow._transform._transforms.7.autoregressive_net.blocks.4.batch_norm_layers   | ModuleList                          | 32    
182 | model.flow._transform._transforms.7.autoregressive_net.blocks.4.batch_norm_layers.0 | BatchNorm1d                         | 16    
183 | model.flow._transform._transforms.7.autoregressive_net.blocks.4.batch_norm_layers.1 | BatchNorm1d                         | 16    
184 | model.flow._transform._transforms.7.autoregressive_net.blocks.4.linear_layers       | ModuleList                          | 144   
185 | model.flow._transform._transforms.7.autoregressive_net.blocks.4.linear_layers.0     | MaskedLinear                        | 72    
186 | model.flow._transform._transforms.7.autoregressive_net.blocks.4.linear_layers.1     | MaskedLinear                        | 72    
187 | model.flow._transform._transforms.7.autoregressive_net.blocks.4.dropout             | Dropout                             | 0     
188 | model.flow._transform._transforms.7.autoregressive_net.final_layer                  | MaskedLinear                        | 108   
189 | model.flow._distribution                                                            | StandardNormal                      | 0     
190 | model.flow._embedding_net                                                           | Identity                            | 0     
191 | model.weights                                                                       | LearnableWeights                    | 301   
192 | model.weights.model                                                                 | Sequential                          | 301   
193 | model.weights.model.0                                                               | Linear                              | 200   
194 | model.weights.model.1                                                               | LeakyReLU                           | 0     
195 | model.weights.model.2                                                               | Linear                              | 101   
196 | model.weights.model.3                                                               | Sigmoid                             | 0     
----------------------------------------------------------------------------------------------------------------------------------------------
4.5 K     Trainable params
12        Non-trainable params
4.5 K     Total params
0.018     Total estimated model params size (MB)
